"Region","ZIP_Code","City","County","lat","lon"
"central",57368,"plankinton","aurora",43.72,-98.48
"central",57375,"stickney","aurora",43.59,-98.44
"central",57383,"white lake","aurora",43.73,-98.71
"central",57325,"chamberlain","brule",43.79,-99.33
"central",57326,"chamberlain","brule",43.79,-99.33
"central",57355,"kimball","brule",43.75,-98.96
"central",57370,"pukwana","brule",43.78,-99.18
"central",57339,"fort thompson","buffalo",44.05,-99.41
"central",57341,"gann valley","buffalo",44.03,-98.99
"central",57632,"herreid","campbell",45.84,-100.07
"central",57646,"mound city","campbell",NA,NA
"central",57648,"pollock","campbell",45.9,-100.29
"central",57329,"dante","charles mix",43.04,-98.19
"central",57342,"geddes","charles mix",43.25,-98.7
"central",57356,"lake andes","charles mix",43.16,-98.54
"central",57361,"marty","charles mix",43,-98.43
"central",57367,"pickstown","charles mix",NA,NA
"central",57369,"platte","charles mix",43.39,-98.84
"central",57380,"wagner","charles mix",43.08,-98.29
"central",57621,"bullhead","corson",45.77,-101.08
"central",57634,"keldron","corson",NA,NA
"central",57639,"little eagle","corson",45.68,-100.8
"central",57641,"mc intosh","corson",NA,NA
"central",57642,"mc laughlin","corson",NA,NA
"central",57645,"morristown","corson",NA,NA
"central",57657,"trail city","corson",NA,NA
"central",57658,"wakpala","corson",NA,NA
"central",57659,"walker","corson",NA,NA
"central",57660,"watauga","corson",NA,NA
"central",57625,"eagle butte","dewey",44.99,-101.23
"central",57630,"glencross","dewey",NA,NA
"central",57633,"isabel","dewey",45.39,-101.43
"central",57636,"lantry","dewey",NA,NA
"central",57652,"ridgeview","dewey",NA,NA
"central",57656,"timber lake","dewey",45.43,-101.07
"central",57661,"whitehorse","dewey",45.27,-100.9
"central",57317,"bonesteel","gregory",43.08,-98.95
"central",57335,"fairfax","gregory",43.03,-98.89
"central",57523,"burke","gregory",43.18,-99.29
"central",57529,"dallas","gregory",43.24,-99.52
"central",57533,"gregory","gregory",43.23,-99.42
"central",57538,"herrick","gregory",43.12,-99.19
"central",57571,"saint charles","gregory",NA,NA
"central",57501,"pierre","hughes",44.37,-100.32
"central",57522,"blunt","hughes",44.52,-99.99
"central",57536,"harrold","hughes",44.52,-99.74
"central",57345,"highmore","hyde",44.52,-99.44
"central",57346,"stephan","hyde",NA,NA
"central",57540,"holabird","hyde",NA,NA
"central",68760,"niobrara","knox",NA,NA
"central",57365,"oacoma","lyman",43.8,-99.37
"central",57544,"kennebec","lyman",43.9,-99.86
"central",57548,"lower brule","lyman",44.07,-99.58
"central",57568,"presho","lyman",43.91,-100.06
"central",57569,"reliance","lyman",43.88,-99.6
"central",57576,"vivian","lyman",43.93,-100.3
"central",57442,"gettysburg","potter",45.01,-99.95
"central",57450,"hoven","potter",45.24,-99.78
"central",57455,"lebanon","potter",45.07,-99.77
"central",57475,"tolstoy","potter",45.21,-99.61
"central",57532,"fort pierre","stanley",44.37,-100.38
"central",57537,"hayes","stanley",NA,NA
"central",57520,"agar","sully",44.84,-100.07
"central",57564,"onida","sully",44.7,-100.07
"central",57528,"colome","tripp",43.26,-99.72
"central",57534,"hamill","tripp",43.59,-99.69
"central",57541,"ideal","tripp",NA,NA
"central",57580,"winner","tripp",43.38,-99.85
"central",57584,"witten","tripp",NA,NA
"central",57420,"akaska","walworth",45.33,-100.12
"central",57452,"java","walworth",45.5,-99.88
"central",57472,"selby","walworth",45.51,-100.03
"central",57601,"mobridge","walworth",45.54,-100.44
"central",57631,"glenham","walworth",45.53,-100.27
"central",57622,"cherry creek","ziebach",NA,NA
"central",57623,"dupree","ziebach",45.05,-101.6
"northeast",57324,"cavour","beadle",44.37,-98.04
"northeast",57348,"hitchcock","beadle",44.63,-98.41
"northeast",57350,"huron","beadle",44.36,-98.21
"northeast",57379,"virgil","beadle",44.29,-98.43
"northeast",57381,"wessington","beadle",44.46,-98.7
"northeast",57384,"wolsey","beadle",44.41,-98.47
"northeast",57386,"yale","beadle",44.43,-97.99
"northeast",57399,"huron","beadle",44.36,-98.21
"northeast",57002,"aurora","brookings",44.28,-96.69
"northeast",57006,"brookings","brookings",44.3,-96.79
"northeast",57007,"brookings","brookings",44.3,-96.79
"northeast",57026,"elkton","brookings",44.24,-96.48
"northeast",57061,"sinai","brookings",44.24,-97.04
"northeast",57071,"volga","brookings",44.32,-96.92
"northeast",57220,"bruce","brookings",44.44,-96.89
"northeast",57276,"white","brookings",44.44,-96.65
"northeast",57401,"aberdeen","brown",45.46,-98.47
"northeast",57402,"aberdeen","brown",45.46,-98.47
"northeast",57426,"barnard","brown",NA,NA
"northeast",57427,"bath","brown",45.47,-98.32
"northeast",57432,"claremont","brown",45.67,-98.02
"northeast",57433,"columbia","brown",45.61,-98.31
"northeast",57439,"ferney","brown",45.33,-98.09
"northeast",57441,"frederick","brown",45.83,-98.51
"northeast",57445,"groton","brown",45.45,-98.1
"northeast",57446,"hecla","brown",45.88,-98.15
"northeast",57449,"houghton","brown",NA,NA
"northeast",57460,"mansfield","brown",45.25,-98.56
"northeast",57474,"stratford","brown",45.32,-98.3
"northeast",57479,"warner","brown",45.33,-98.5
"northeast",57481,"westport","brown",45.65,-98.5
"northeast",57217,"bradley","clark",45.09,-97.64
"northeast",57225,"clark","clark",44.88,-97.73
"northeast",57236,"garden city","clark",NA,NA
"northeast",57258,"raymond","clark",44.91,-97.94
"northeast",57271,"vienna","clark",44.7,-97.5
"northeast",57278,"willow lake","clark",44.63,-97.64
"northeast",57322,"carpenter","clark",NA,NA
"northeast",57201,"watertown","codington",NA,NA
"northeast",57235,"florence","codington",45.05,-97.33
"northeast",57243,"henry","codington",44.88,-97.46
"northeast",57245,"kranzburg","codington",44.89,-96.91
"northeast",57263,"south shore","codington",45.1,-96.93
"northeast",57272,"wallace","codington",45.08,-97.48
"northeast",57219,"bristol","day",45.35,-97.75
"northeast",57239,"grenville","day",45.47,-97.39
"northeast",57261,"roslyn","day",45.5,-97.49
"northeast",57273,"waubay","day",45.33,-97.31
"northeast",57274,"webster","day",45.34,-97.52
"northeast",57422,"andover","day",45.41,-97.9
"northeast",57468,"pierpont","day",45.5,-97.83
"northeast",57213,"astoria","deuel",44.56,-96.55
"northeast",57218,"brandt","deuel",44.67,-96.63
"northeast",57226,"clear lake","deuel",44.76,-96.68
"northeast",57237,"gary","deuel",44.79,-96.46
"northeast",57238,"goodwin","deuel",44.88,-96.85
"northeast",57268,"toronto","deuel",44.57,-96.64
"northeast",57428,"bowdle","edmunds",45.45,-99.66
"northeast",57448,"hosmer","edmunds",45.58,-99.47
"northeast",57451,"ipswich","edmunds",45.44,-99.03
"northeast",57471,"roscoe","edmunds",45.45,-99.34
"northeast",57435,"cresbard","faulk",45.17,-98.95
"northeast",57438,"faulkton","faulk",45.03,-99.13
"northeast",57466,"onaka","faulk",45.19,-99.47
"northeast",57470,"rockham","faulk",44.9,-98.82
"northeast",57473,"seneca","faulk",45.06,-99.51
"northeast",57216,"big stone city","grant",NA,NA
"northeast",57246,"labolt","grant",NA,NA
"northeast",57251,"marvin","grant",45.26,-96.92
"northeast",57252,"milbank","grant",45.22,-96.63
"northeast",57259,"revillo","grant",45.02,-96.57
"northeast",57264,"stockholm","grant",45.1,-96.8
"northeast",57265,"strandburg","grant",45.04,-96.76
"northeast",57269,"twin brooks","grant",45.21,-96.79
"northeast",57221,"bryant","hamlin",44.59,-97.47
"northeast",57223,"castlewood","hamlin",44.72,-97.03
"northeast",57234,"estelline","hamlin",44.58,-96.9
"northeast",57241,"hayti","hamlin",44.66,-97.2
"northeast",57242,"hazel","hamlin",44.76,-97.38
