"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"Glacial Lakes & Prairies",57401,"aberdeen","brown",45.46,-98.47,28257
"Glacial Lakes & Prairies",57402,"aberdeen","brown",45.46,-98.47,28257
"Missouri River",57520,"agar","sully",44.84,-100.07,80
"Missouri River",57420,"akaska","walworth",45.33,-100.12,47
"Southeast",57001,"alcester","union",43.02,-96.63,755
"Southeast",57311,"alexandria","hanson",43.65,-97.78,644
"Black Hills and Badlands",57714,"allen","bennett",43.28,-101.93,463
"Glacial Lakes & Prairies",57312,"alpena","jerauld",44.18,-98.37,285
"Glacial Lakes & Prairies",57421,"amherst","marshall",45.7382146787837,-97.9210878757392,71
"Glacial Lakes & Prairies",57422,"andover","day",45.41,-97.9,82
"Glacial Lakes & Prairies",57212,"arlington","kingsbury",44.36,-97.13,859
"Southeast",57313,"armour","douglas",43.32,-98.34,669
"Glacial Lakes & Prairies",57314,"artesian","sanborn",44.01,-97.92,137
"Glacial Lakes & Prairies",57424,"ashton","spink",44.99,-98.5,124
"Glacial Lakes & Prairies",57213,"astoria","deuel",44.56,-96.55,135
"Glacial Lakes & Prairies",57002,"aurora","brookings",44.28,-96.69,834
"Southeast",57315,"avon","bon homme",43.01,-98.06,590
"Glacial Lakes & Prairies",57214,"badger","kingsbury",44.49,-97.21,101
"Southeast",57003,"baltic","minnehaha",43.76,-96.74,1178
"Glacial Lakes & Prairies",57426,"barnard","brown",45.7328514534461,-98.4969087123668,37
"Black Hills and Badlands",57716,"batesland","oglala lakota",43.13,-102.1,114
"Glacial Lakes & Prairies",57427,"bath","brown",45.47,-98.32,223
"Black Hills and Badlands",57717,"belle fourche","butte",44.66,-103.86,5702
"Black Hills and Badlands",57521,"belvidere","jackson",43.83,-101.27,57
"Southeast",57004,"beresford","union",43.08,-96.78,2026
"Glacial Lakes & Prairies",57216,"big stone city","grant",45.2916734274388,-96.465188651716,456
"Black Hills and Badlands",57620,"bison","perkins",45.52,-102.47,322
"Black Hills and Badlands",57718,"black hawk","meade",44.1511817951145,-103.308726554247,3057
"Missouri River",57522,"blunt","hughes",44.52,-99.99,354
"Missouri River",57317,"bonesteel","gregory",43.08,-98.95,273
"Glacial Lakes & Prairies",57428,"bowdle","edmunds",45.45,-99.66,468
"Black Hills and Badlands",57719,"box elder","pennington",44.11,-103.08,10119
"Glacial Lakes & Prairies",57217,"bradley","clark",45.09,-97.64,78
"Southeast",57005,"brandon","minnehaha",43.59,-96.58,10074
"Glacial Lakes & Prairies",57218,"brandt","deuel",44.67,-96.63,107
